vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2018-03-13 07:37:25,2018-03-13 07:43:18,1,0.9,1,N,263,237,1,5.5,0.0,0.5,0.63,0.0,0.3,6.93,0.0,0.0
2,2018-09-28 12:36:22,2018-09-28 13:19:13,1,1.83,1,N,186,162,1,24.0,0.0,0.5,4.96,0.0,0.3,29.76,0.0,0.0
2,2018-12-30 08:59:57,2018-12-30 09:04:29,6,0.94,1,N,163,43,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0
1,2018-02-24 10:05:29,2018-02-24 10:10:35,1,0.4,1,N,263,263,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0.0,0.0
2,2018-04-14 21:44:42,2018-04-14 21:52:40,2,1.38,1,N,239,237,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,0.0,0.0
2,2018-06-11 07:53:52,2018-06-11 08:09:30,1,2.05,1,N,237,230,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,0.0,0.0
1,2018-01-06 21:51:15,2018-01-06 21:52:46,1,0.6,1,N,141,236,1,4.0,0.5,0.5,0.79,0.0,0.3,6.09,0.0,0.0
1,2018-10-06 19:50:57,2018-10-06 20:01:25,1,1.3,1,N,170,229,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,0.0,0.0
2,2018-02-28 18:25:09,2018-02-28 19:01:06,4,4.44,1,N,113,143,1,23.0,1.0,0.5,4.96,0.0,0.3,29.76,0.0,0.0
1,2018-07-13 09:19:55,2018-07-13 09:39:50,1,2.8,1,N,186,238,1,14.5,0.0,0.5,2.0,0.0,0.3,17.3,0.0,0.0
1,2018-02-15 14:04:33,2018-02-15 14:25:03,1,2.1,1,N,229,142,1,13.5,0.0,0.5,2.85,0.0,0.3,17.15,0.0,0.0
2,2018-03-14 18:06:20,2018-03-14 18:17:47,2,1.65,1,N,237,163,1,9.5,1.0,0.5,2.26,0.0,0.3,13.56,0.0,0.0
2,2018-03-18 00:23:31,2018-03-18 00:28:59,1,1.17,1,N,142,239,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0,0.0
1,2018-12-03 04:54:21,2018-12-03 05:03:18,1,1.9,1,N,186,162,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0.0,0.0
2,2018-08-11 22:04:16,2018-08-11 22:14:24,5,2.22,1,N,137,141,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8,0.0,0.0
1,2018-05-03 19:24:37,2018-05-03 20:07:17,1,9.7,1,N,48,195,2,34.0,1.0,0.5,0.0,0.0,0.3,35.8,0.0,0.0
2,2018-01-07 13:26:47,2018-01-07 13:32:21,1,0.92,1,N,239,236,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,0.0,0.0
2,2018-05-18 23:32:06,2018-05-18 23:39:08,1,0.95,1,N,107,114,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0,0.0
1,2018-04-06 11:45:10,2018-04-06 11:58:04,1,2.1,1,N,238,75,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0.0,0.0
1,2018-02-17 08:55:36,2018-02-17 09:21:24,1,7.8,1,N,217,7,1,26.0,0.0,0.5,5.0,0.0,0.3,31.8,0.0,0.0
1,2018-01-29 07:53:31,2018-01-29 08:05:12,1,1.1,1,N,100,233,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75,0.0,0.0
2,2018-12-22 04:45:29,2018-12-22 05:03:55,1,4.4,1,N,256,85,1,16.5,0.5,0.5,3.0,0.0,0.3,20.8,0.0,0.0
1,2018-11-09 06:19:43,2018-11-09 06:32:11,1,4.0,1,N,137,75,1,15.0,0.0,0.5,1.5,0.0,0.3,17.3,0.0,0.0
